//= otRag ??
//pay_dun00,0,0,0,0	monster	Esqueleto	1076,25,0,0,0
pay_dun03,126,132,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,126,131,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,179,134,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,179,133,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,179,132,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,179,131,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,179,130,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,57,65,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,58,69,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,59,64,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,60,68,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,62,67,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,63,70,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,64,66,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,66,73,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,66,65,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,66,63,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,67,71,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,67,69,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,68,72,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,68,64,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,69,68,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,71,67,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,71,64,0,0	monster	Hidra	1068,1,300000,150000,1
pay_dun03,0,0,0,0	monster	Munak	1026,5,0,0,0
pay_dun03,0,0,0,0	monster	Esqueleto Arqueiro	1016,5,0,0,0
pay_dun03,0,0,0,0	monster	Bongun	1188,5,0,0,0
pay_dun03,0,0,0,0	monster	Sohee	1170,45,0,0,0
pay_dun03,219,244,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,219,185,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,115,190,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,228,185,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,230,244,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,240,244,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,243,220,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,71,243,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,85,178,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,86,248,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun03,81,61,0,0	monster	Sussurro	1185,1,900000,0,1
pay_dun03,84,63,0,0	monster	Sussurro	1185,1,900000,0,1
pay_dun03,154,112,0,0	monster	Sussurro	1185,1,900000,0,1
pay_dun03,161,117,0,0	monster	Sussurro	1185,1,900000,0,1
pay_dun03,89,147,0,0	monster	Cochicho	1186,1,1800000,0,1

pay_dun04,0,0,0,0	monster	Planta Vermelha	1078,10,180000,90000,1
pay_dun04,0,0,0,0	monster	Planta Branca	1082,5,180000,90000,1
pay_dun04,120,120,10,10	monster	Planta Brilhante	1083,3,1800000,900000,1
pay_dun04,112,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,113,99,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,116,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,119,99,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,120,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,112,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,113,99,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,116,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,119,99,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,120,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,77,78,0,0	monster	Mandrágora	1020,1,300000,150000,1
pay_dun04,81,167,0,0	monster	Mandrágora	1020,1,300000,150000,1
pay_dun04,97,125,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,97,123,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,97,121,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,97,115,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,121,99,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,140,118,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,140,122,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,140,126,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,140,130,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,151,74,0,0	monster	Mandrágora	1020,1,300000,150000,1
pay_dun04,152,163,0,0	monster	Mandrágora	1020,1,300000,150000,1
pay_dun04,124,144,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,125,99,0,0	monster	Mandrágora	1020,1,1800000,3600000,1
pay_dun04,156,77,0,0	monster	Mandrágora	1020,1,300000,150000,1
pay_dun04,0,0,0,0	monster	Esqueleto Arqueiro	1016,20,0,0,0
pay_dun04,129,140,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,131,106,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,135,134,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,136,111,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,100,133,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,103,110,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,106,139,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,109,103,0,0	monster	Sohee	1170,2,150000,50000,1
pay_dun04,0,0,0,0	monster	Sohee	1170,10,0,0,0
pay_dun04,0,0,0,0	monster	Horong	1129,40,0,0,0
pay_dun04,0,0,0,0	monster	Guardião da Floresta	1277,5,0,0,0
pay_dun04,123,99,0,0	monster	Guardião da Floresta	1277,1,1800000,3600000,1
pay_dun04,140,114,0,0	monster	Guardião da Floresta	1277,1,1800000,3600000,1
pay_dun04,154,75,0,0	monster	Guardião da Floresta	1277,1,300000,150000,1
pay_dun04,77,163,0,0	monster	Guardião da Floresta	1277,1,300000,150000,1
pay_dun04,120,115,0,0	boss_monster	Flor do Luar	1150,1,3600000,0,1
