// アイテム価格データ（item_db.txtのデータにオーバーライドされます）
//ID,Name,Jname,Price,Sell,Not_DC,Not_OC
659,Heart_of_her,Her Heart,50,,,
660,Forbidden_Red_Candle,Forbidden Red Candle,,,,
661,Flapping_Apron,Flapping Apron,,,,
663,Songpyun,Songpyun,,,,
701,Ora_Ora,Ora Ora,1000,,,
702,Animal_Blood,Animal Gore,2,,,
703,Hinalle,Hinalle,2,,,
704,Aloe,Aloe,2,,,
705,Clover,Clover,10,,,
706,Four_leaf_Clover,Four leaf Clover,2,,,
707,Singing_Plant,Singing Plant,2,,,
708,Ment,Ment,2,,,
709,Izidor,Izidor,2,,,
710,Illusion_Flower,Illusion Flower,2,,,
711,Shoot,Shoot,2,,,
712,Flower,Flower,2,,,
713,Empty_Bottle,Empty Bottle,5,,,
714,Emperium,Emperium,2,,,
715,Yellow_Gemstone,Yellow Gemstone,600,,,
716,Red_Gemstone,Red Gemstone,700,,,
717,Blue_Gemstone,Blue Gemstone,600,,,
718,Dark_red_Jewel,Garnet,5000,,,
719,Violet_Jewel,Amethyst,5000,,,
720,Skyblue_Jewel,Aquamarine,5000,,,
721,Azure_Jewel,Emerald,5000,,,
722,Scarlet_Jewel,Pearl,5000,,,
723,Cardinal_Jewel,Ruby,5000,,,
724,Cardinal_Jewel_,Cursed Ruby,500,,,
725,Red_Jewel,Sardonyx,5000,,,
726,Blue_Jewel,Sapphire,5000,,,
727,White_Jewel,Opal,5000,,,
728,Golden_Jewel,Topaz,5000,,,
729,Blueish_green_Jewel,Zircon,5000,,,
730,1_Carat_Diamond,1 Carat Diamond,10000,,,
731,2_Carat_Diamond,2 Carat Diamond,25000,,,
732,3_Carat_Diamond,3 Carat Diamond,55000,,,
733,Crystal_Jewel___,Cracked Diamond,10,,,
734,Red_Frame,Red Frame,3000,,,
735,Blue_Porcelain,Chung Jah,5000,,,
736,White_Platter,China,1000,,,
737,Black_Ladle,Black Ladle,500,,,
738,Pencil_Case,Pencil Case,300,,,
739,Rouge,Rouge,10000,,,
740,Stuffed_Doll,Puppet,3000,,,
741,Poring_Doll,Poring Doll,1000,,,
742,Chonchon_Doll,Chonchon Doll,1800,,,
743,Spore_Doll,Spore Doll,5000,,,
744,Bunch_of_Flowers,Bouquet,2000,,,
745,Wedding_Bouquet,Wedding Bouquet,10000,,,
746,Glass_Bead,Glass Bead,1500,,,
747,Crystal_Mirror,Crystal Mirror,30000,,,
748,Witherless_Rose,Witherless Rose,50000,,,
749,Frozen_Rose,Frozen Rose,35000,,,
750,Baphomet_Doll,Baphomet Doll,6000,,,
751,Osiris_Doll,Osiris Doll,6000,,,
752,Grasshopper_Doll,Grasshopper Doll,4000,,,
753,Monkey_Doll,Yoyo Doll,7000,,,
754,Raccoon_Doll,Raccoon Doll,7000,,,
756,Oridecon_Stone,Oridecon Stone,2,,,
757,Elunium_Stone,Elunium Stone,2,,,
901,Danggie,Danggie,250,,,
902,Tree_Root,Tree Root,12,,,
903,Reptile_Tongue,Reptile Tongue,50,,,
904,Scorpion's_Tail,Scorpion Tail,168,,,
905,Stem,Stem,58,,,
906,Pointed_Scale,Pointed Scale,70,,,
907,Resin,Resin,128,,,
908,Spawn,Spawn,148,,,
909,Jellopy,Jellopy,6,,,
910,Garlet,Garlet,40,,,
911,Scell,Scell,160,,,
912,Zargon,Zargon,500,,,
913,Tooth_of_Bat,Tooth of Bat,32,,,
914,Fluff,Fluff,8,,,
915,Chrysalis,Chrysalis,8,,,
916,Feather_of_Birds,Feather of Birds,10,,,
917,Talon,Talon,20,,,
918,Sticky_Webfoot,Sticky Webfoot,20,,,
919,Animal's_Skin,Animal Skin,36,,,
920,Claw_of_Wolves,Wolf Claw,58,,,
921,Mushroom_Spore,Mushroom Spore,36,,,
922,Orcish_Cuspid,Orc's Fang,220,,,
923,Evil_Horn,Evil Horn,1020,,,
924,Powder_of_Butterfly,Powder of Butterfly,90,,,
925,Bill_of_Birds,Bill of Birds,64,,,
926,Scale_of_Snakes,Snake Scale,82,,,
928,Insect_Feeler,Insect Feeler,114,,,
929,Immortal_Heart,Immortal Heart,374,,,
930,Rotten_Bandage,Rotten Bandage,358,,,
931,Orcish_Voucher,Orcish Voucher,168,,,
932,Skel_Bone,Skel-Bone,232,,,
934,Mementos,Memento,300,,,
935,Shell,Shell,12,,,
936,Scales_Shell,Scale Shell,466,,,
937,Posionous_Canine,Venom Canine,158,,,
938,Sticky_Mucus,Sticky Mucus,70,,,
939,Bee_Sting,Bee Sting,32,,,
940,Grasshopper's_Leg,Grasshopper's Leg,36,,,
941,Nose_Ring,Nose Ring,568,,,
942,Yoyo_Tail,Yoyo Tail,114,,,
943,Solid_Shell,Solid Shell,448,,,
944,Horseshoe,Horseshoe,588,,,
945,Raccoon_Leaf,Raccoon Leaf,106,,,
946,Snail's_Shell,Snail's Shell,64,,,
947,Horn,Horn,106,,,
948,Bear's_Foot,Bear's Footskin,184,,,
949,Feather,Feather,20,,,
950,Heart_of_Mermaid,Heart of Mermaid,264,,,
951,Fin,Fin,412,,,
952,Cactus_Needle,Cactus Needle,82,,,
953,Stone_Heart,Stone Heart,184,,,
954,Shining_Scales,Shining Scale,466,,,
955,Worm_Peelings,Worm Peeling,52,,,
956,Gill,Gill,342,,,
957,Decayed_Nail,Decayed Nail,82,,,
958,Horrendous_Mouth,Horrendous Mouth,390,,,
959,Rotten_Scale,Stinky Scale,168,,,
960,Nipper,Nipper,114,,,
961,Conch,Conch,158,,,
962,Tentacle,Tentacle,70,,,
963,Sharp_scale,Sharp scale,250,,,
964,Crab_Shell,Crap Shell,90,,,
965,Clam_Shell,Clam Shell,2,,,
966,Flesh_Of_Clam,Clam Flesh,2,,,
967,Turtle_Shell,Turtle Shell,2,,,
968,Voucher_Of_Orcish_Hero,Heroic Emblem,3000,,,
969,Gold,Gold,10000,,,
970,Alchol,Alchol,100,,,
971,Detrimindexta,Detrimindexta,100,,,
972,Karvodailnirol,Karvodailnirol,100,,,
973,Counteragent,Counteragent,200,,,
974,Mixture,Mixture,200,,,
975,Scarlet_Dyestuffs,Scarlet Dyestuffs,1000,,,
976,Lemon_Dyestuffs,Lemon Dyestuffs,1000,,,
978,Cobaltblue_Dyestuffs,Cobaltblue Dyestuffs,1000,,,
979,Darkgreen_Dyestuffs,Darkgreen Dyestuffs,1000,,,
980,Orange_Dyestuffs,Orange Dyestuffs,1000,,,
981,Violet_Dyestuffs,Violet Dyestuffs,1000,,,
982,White_Dyestuffs,White Dyestuffs,1000,,,
983,Black_Dyestuffs,Black Dyestuffs,1000,,,
984,Oridecon,Oridecon,5,,,
985,Elunium,Elunium,5,,,
986,Anvil,Anvil,30000,,,
987,Oridecon_Anvil,Oridecon Anvil,120000,,,
988,Golden_Anvil,Golden Anvil,300000,,,
989,Emperium_Anvil,Emperium Anvil,2,,,
990,Bloody_Red,Red Blood,1000,,,
991,Crystal_Blue,Crystal Blue,1000,,,
992,Wind_Of_verdure,Wind of Verdure,1000,,,
993,Yellow_Live,Green Live,1000,,,
994,Flame_Heart,Flame Heart,3000,,,
995,Mistic_Frozen,Mistic Frozen,3000,,,
996,Rough_Wind,Rough Wind,3000,,,
997,Great_Nature,Great Nature,3000,,,
998,Iron,Iron,100,,,
999,Steel,Steel,1000,,,
1000,Star_Crumb,Star Crumb,4500,,,
1001,Sparkling_Dust,Star Dust,1500,,,
1002,Iron_Ore,Iron Ore,2,,,
1003,Coal,Coal,500,,,
1004,Patriotism_Marks,Chivalry Emblem,2,,,
1005,Hammer_of_Blacksmith,Hammer of Blacksmith,2,,,
1006,Old_Magic_Book,Old Magic Book,2,,,
1007,Penetration,Necklace of Wisdom,2,,,
1008,Frozen_Heart,Necklace of Oblivion,2,,,
1009,Sacred_Marks,Hand of God,2,,,
1010,Phracon,Phracon,200,,,
1011,Emveretarcon,Emveretarcon,1000,,,
1012,Lizard_Scruff,Frill,250,,,
1013,Colorful_Shell,Rainbow Shell,90,,,
1014,Jaws_of_Ant,Ant Jaw,232,,,
1015,Thin_N'_Long_Tongue,Tongue,528,,,
1016,Rat_Tail,Rat Tail,52,,,
1017,Moustache_Of_Mole,Mole Whiskers,106,,,
1018,Nail_of_Mole,Mole Claw,210,,,
1019,Wooden_Block,Trunk,60,,,
1020,Long_Hair,Black Hair,292,,,
1021,Dokkaebi_Horn,Dokkaebi Horn,292,,,
1022,Fox_Tail,Nine Tails,650,,,
1023,Fish_Tail,Fish Tail,196,,,
1024,Chinese_Ink,Squid ink,264,,,
1025,Spiderweb,Cobweb,184,,,
1026,Acorn,Acorn,98,,,
1027,Porcupine_Spike,Porcupine Quill,158,,,
1028,Wild_Boar's_Mane,Mane,196,,,
1029,Tiger's_Skin,Tiger Skin,548,,,
1030,Tiger_Footskin,Tiger's Footskin,1500,,,
1031,Limb_Of_Mantis,Mantis Scythe,196,,,
1032,Blossom_Of_Maneater,Maneater Blossom,196,,,
1033,Root_Of_Maneater,Maneater Root,208,,,
1034,Cobold_Hair,Blue Hair,342,,,
1035,Dragon_Canine,Dragon Canine,484,,,
1036,Dragon_Scale,Dragon Scale,500,,,
1037,Dragon_Train,Dragon Tail,1200,,,
1038,Petite_Diablos_Horn,Little Evil Horn,528,,,
1039,Petite_Diablos_Wing,Little Evil Wing,2000,,,
1040,Elder_Pixie's_Beard,Elder Pixie's Moustache,232,,,
1041,Lantern,Lantern,250,,,
1042,Short_Leg,Bug Leg,430,,,
1043,Nail_of_Orc,Orc Claw,168,,,
1044,Tooth_of_Zenorc,Zenorc's Fang,264,,,
1045,Sacred_Masque,Cultish Masque,412,,,
1046,Tweezer,Scorpion Nipper,614,,,
1047,Head_of_Medusa,Dead Medusa,548,,,
1048,Slender_Snake,Horrendous Hair,800,,,
1049,Skirt_of_Virgin,Skirt of Virgin,1700,,,
1050,Tendon,Tendon,220,,,
1051,Detonator,Detonator,450,,,
1052,Single_Cell,Single Cell,46,,,
1053,Tooth_of_Ancient_Fish,Ancient Tooth,548,,,
1054,Lip_of_Ancient_Fish,Ancient Lips,1000,,,
1055,Earthworm_Peeling,Earthworm Peeling,196,,,
1056,Grit,Grit,306,,,
1057,Moth_Dust,Moth Dust,138,,,
1058,Wing_Of_Moth,Moth Wings,200,,,
1059,Transparent_Cloth,Fabric,306,,,
1060,Golden_Hair,Golden Hair,430,,,
1061,Starsand_Of_Witch,Witched Starsand,484,,,
1062,Pumpkin_Head,Jack o' Pumpkin,374,,,
1063,Sharpened_Cuspid,Fang,680,,,
1064,Reins,Reins,802,,,
1065,Booby_Trap,Trap,100,,,
1066,Tree_Of_Archer_1,Fine-grained Trunk,2,,,
1067,Tree_Of_Archer_2,Solid Trunk,2,,,
1068,Tree_Of_Archer_3,Barren Trunk,2,,,
1069,Mushroom_Of_Thief_1,Orange Net Mushroom,2,,,
1070,Mushroom_Of_Thief_2,Orange Gooey Mushroom,2,,,
1071,Mage_Test_1,Unknown Testtube,2,,,
1072,Delivery_Message,DEL Message,2,,,
1073,Merchant_Voucher_1,Voucher,2,,,
1074,Merchant_Voucher_2,Voucher,2,,,
1075,Merchant_Voucher_3,Voucher,2,,,
1076,Merchant_Voucher_4,Voucher,2,,,
1077,Merchant_Voucher_5,Voucher,2,,,
1078,Merchant_Voucher_6,Voucher,2,,,
1079,Merchant_Voucher_7,Voucher,2,,,
1080,Merchant_Voucher_8,Voucher,2,,,
1081,Merchant_Box_1,DEL Box,2,,,
1082,Merchant_Box_2,DEL Box,2,,,
1083,Merchant_Box_3,DEL Box,2,,,
1084,Kapra's_Pass,Kapra Pass,2,,,
1085,Mage_Test_2,Unknown Testtube,2,,,
1086,Mage_Test_3,Unknown Testtube,2,,,
1087,Mage_Test_4,Unknown Testtube,2,,,
1088,Morocc_Potion,Morocc Solution,2,,,
1089,Payon_Potion,Payon Solution,2,,,
1090,Mage_Test_Etc,Unknown Testtube,2,,,
1091,Merchant_Box_Etc,DEL Box,2,,,
1092,Empty_Cylinder,Empty Testtube,3,,,
1093,Empty_Potion,Empty Potion Bottle,10,,,
1094,Short_Daenggie,Short Daenggie,278,,,
1095,Needle_of_Alarm,Needle of Alarm,796,,,
1096,Round_Shell,Round Shell,954,,,
1097,Worn_Out_Page,Worn Out Page,820,,,
1098,Manacles,Manacles,658,,,
1099,Worn_Out_Prison_Uniform,Worn-out Prison Uniform,466,,,
1101,Sword,Sword,100,,,
1102,Sword_,Sword,100,,,
1103,Sword__,Sword,100,,,
1104,Falchion,Falchion,1500,,,
1105,Falchion_,Falchion,1500,,,
1106,Falchion__,Falchion,1500,,,
1107,Blade,Blade,2900,,,
1108,Blade_,Blade,2900,,,
1109,Blade__,Blade,2900,,,
1110,Lapier,Rapier,10000,,,
1111,Lapier_,Rapier,10000,,,
1112,Lapier__,Rapier,10000,,,
1113,Scimiter,Scimiter,17000,,,
1114,Scimiter_,Scimiter,17000,,,
1115,Scimiter__,Scimiter,17000,,,
1116,Katana,Katana,2000,,,
1117,Katana_,Katana,2000,,,
1118,Katana__,Katana,2000,,,
1119,Tsurugi,Tsurugi,51000,,,
1120,Tsurugi_,Tsurugi,51000,,,
1121,Tsurugi__,Tsurugi,51000,,,
1122,Ring_pommel_Saber,Ring Pommel Saber,24000,,,
1123,Haedonggum,Haedonggum,50000,,,
1124,Orcish_sword,Orcish sword,20,,,
1125,Ring_pommel_Saber_,Ring Pommel Saber,24000,,,
1126,Saber,Saber,49000,,,
1127,Saber_,Saber,49000,,,
1128,Hae_Dong_Gum_,Haedonggum,50000,,,
1129,Flamberge,Flamberge,60000,,,
1130,Nagan,Nagan,20,,,
1131,Ice_Falchon,Ice Falchon,20,,,
1132,Edge,Edge,20,,,
1133,Fire_brand,Fireblend,20,,,
1134,Scissores_Sword,Caesar's Sword,20,,,
1135,Cutlas,Cutlas,20,,,
1136,Solar_Sword,Solar Sword,20,,,
1137,Excalibur,Excalibur,20,,,
1138,Mysteltainn_,Mysteltainn,20,,,
1139,Tale_Fing_,Talefing,20,,,
1140,Byeorrun_Gum,Byeollungum,20,,,
1141,Immaterial_Sword,Immaterial Sword,20,,,
1142,Jewel_Sword,Crystal Sword,20,,,
1143,Gaia_Sword,Gaia Sword,20,,,
1144,Sasimi,Sashimi,20,,,
1145,Holy_Avenger,Holy Avenger,,,,
1151,Slayer,Slayer,15000,,,
1152,Slayer_,Slayer,15000,,,
1153,Slayer__,Slayer,15000,,,
1154,Bastard_Sword,Bastard Sword,22500,,,
1155,Bastard_Sword_,Bastard Sword,22500,,,
1156,Bastard_Sword__,Bastard Sword,22500,,,
1157,Two_hand_Sword,Two-handed Sword,60000,,,
1158,Two_hand_Sword_,Two-handed Sword,60000,,,
1159,Two_hand_Sword__,Two-handed Sword,60000,,,
1160,Broad_Sword,Broad Sword,65000,,,
1161,Balmung,Balmung,20,,,
1162,Broad_Sword_,Broad Sword,65000,,,
1163,Claymore,Claymore,74000,,,
1164,Muramasa,Muramasa,20,,,
1165,Masamune,Masamune,20,,,
1166,Dragon_Slayer,Dragon Slayer,20,,,
1167,Schweizersabel,Schweizersabel,20,,,
1168,Zweihander,Zweihander,20,,,
1169,Executioner_,Executioner,20,,,
1170,Katzbalger,Katzbalger,20,,,
1201,Knife,Knife,50,,,
1202,Knife_,Knife,50,,,
1203,Knife__,Knife,50,,,
1204,Cutter,Cutter,1250,,,
1205,Cutter_,Cutter,1250,,,
1206,Cutter__,Cutter,1250,,,
1207,Main_gauche,Main Gauche,2400,,,
1208,Main_gauche_,Main Gauche,2400,,,
1209,Main_gauche__,Main Gauche,2400,,,
1210,Dirk,Dirk,8500,,,
1211,Dirk_,Dirk,8500,,,
1212,Dirk__,Dirk,8500,,,
1213,Dagger,Dagger,14000,,,
1214,Dagger_,Dagger,14000,,,
1215,Dagger__,Dagger,14000,,,
1216,Stiletto,Stiletto,19500,,,
1217,Stiletto_,Stiletto,19500,,,
1218,Stiletto__,Stiletto,19500,,,
1219,Gladius,Gladius,43000,,,
1220,Gladius_,Gladius,43000,,,
1221,Gladius__,Gladius,43000,,,
1222,Damascus,Damascus,49000,,,
1223,Forturn_Sword,Fortune Sword,20,,,
1224,Sword_Breaker,Swordbreaker,20,,,
1225,Mail_Breaker,Mailbreaker,20,,,
1226,Damascus_,Damascus,49000,,,
1227,Weeder_Knife,Weeder Knife,20,,,
1228,Combat_Knife,Combat Knife,20,,,
1229,Mama's_Knife,Mama's Knife,20,,,
1230,House_Auger,House Auger,20,,,
1231,Bazerald,Bazerald,20,,,
1232,Assasin_Dagger,Assasin Dagger,20,,,
1233,Exercise,Excorcise,20,,,
1234,Moonlight_Sword,Walgwanggum,20,,,
1235,Azoth,Azoth,20,,,
1236,Sucsamad,Sucsamad,20,,,
1237,Grimtooth_,Grimtooth,20,,,
1238,Zeny_Knife,Zeny Knife,20,,,
1239,Poison_Knife,Poison Knife,20,,,
1240,Princess_Knife,Princess Knife,20,,,
1241,Cursed_Knife,Cursed Knife,,,,
1242,Counter_Knife,Counter Knife,,,,
1243,Main_Gauche_for_Novice,Main Gauche for Novice,,,,
1250,Jur,Jur,19500,,,
1251,Jur_,Jur,19500,,,
1252,Katar,Katar,41000,,,
1253,Katar_,Katar,41000,,,
1254,Jamadhar,Jamadhar,37200,,,
1255,Jamadhar_,Jamadhar,37200,,,
1256,Katar_of_Cold_Icicle,Katar of Cold Icicle,45000,,,
1257,Katar_of_Thornbush,Katar of Dusty Thornbush,45000,,,
1258,Katar_of_Raging_Blaze,Katar of Raging Blaze,45000,,,
1259,Katar_of_Piercing_Wind,Katar of Piercing Wind,45000,,,
1260,Ghoul_Leg,Sharppened Legbone of Ghoul,52500,,,
1261,Infiltrator,Infiltrator,57000,,,
1301,Axe,Axe,500,,,
1302,Axe_,Axe,500,,,
1303,Axe__,Axe,500,,,
1304,Orcish_Axe,Orcish Axe,20,,,
1305,Cleaver,Cleaver,20,,,
1306,War_Axe,ウォーアクス,,,,
1351,Battle_Axe,Battle Axe,5400,,,
1352,Battle_Axe_,Battle Axe,5400,,,
1353,Battle_Axe__,Battle Axe,5400,,,
1354,Hammer,Hammer,15500,,,
1355,Hammer_,Hammer,15500,,,
1356,Hammer__,Hammer,15500,,,
1357,Buster,Buster,34000,,,
1358,Buster_,Buster,34000,,,
1359,Buster__,Buster,34000,,,
1360,Two_handed_Axe,Two-handed Axe,55000,,,
1361,Two_handed_Axe_,Two-handed Axe,55000,,,
1362,Two_handed_Axe__,Two-handed Axe,55000,,,
1363,Brood_Axe,Bloody Axe,20,,,
1364,Great_Axe,Great Axe,20,,,
1365,Sabbath,Sabbath,20,,,
1366,Right_Epsilon,Light Epsilon,20,,,
1367,Slaughter,Slaughter,20,,,
1368,Tomahawk,Tomahawk,20,,,
1369,Guillotine,Guillotine,20,,,
1401,Javelin,Javelin,150,,,
1402,Javelin_,Javelin,150,,,
1403,Javelin__,Javelin,150,,,
1404,Spear,Spear,1700,,,
1405,Spear_,Spear,1700,,,
1406,Spear__,Spear,1700,,,
1407,Pike,Pike,3450,,,
1408,Pike_,Pike,3450,,,
1409,Pike__,Pike,3450,,,
1410,Lance,Lance,60000,,,
1411,Lance_,Lance,60000,,,
1412,Lance__,Lance,60000,,,
1413,Gungnir,Gungnir,20,,,
1414,Gelerdria,Gelerdria,20,,,
1415,Skewer,Brocca,20,,,
1416,Tjungkuletti,Tjungkuletti,20,,,
1417,Pole_Axe,Pole Axe,20,,,
1451,Guisarme,Guisarme,13000,,,
1452,Guisarme_,Guisarme,13000,,,
1453,Guisarme__,Guisarme,13000,,,
1454,Glaive,Glaive,20000,,,
1455,Glaive_,Glaive,20000,,,
1456,Glaive__,Glaive,20000,,,
1457,Partizan,Partizan,27000,,,
1458,Partizan_,Partizan,27000,,,
1459,Partizan__,Partizan,27000,,,
1460,Trident,Trident,51000,,,
1461,Trident_,Trident,51000,,,
1462,Trident__,Trident,51000,,,
1463,Halberd,Halberd,54000,,,
1464,Halberd_,Halberd,54000,,,
1465,Halberd__,Halberd,54000,,,
1466,Crescent_Scythe,Crescent Scythe,20,,,
1467,Bill_Guisarme,Bill Guisarme,20,,,
1468,Zephyrus,Zephyrus,20,,,
1469,Longinus's_Spear,Longinus's Spear,20,,,
1470,Brionac,Brionac,20,,,
1471,Hell_fire,Hellfire,20,,,
1472,Staff_of_Soul,Staff of Soul,,,,
1473,Wizardry_Staff,Wizardry Staff,,,,
1501,Club,Club,120,,,
1502,Club_,Club,120,,,
1503,Club__,Club,120,,,
1504,Mace,Mace,1600,,,
1505,Mace_,Mace,1600,,,
1506,Mace__,Mace,1600,,,
1507,Smasher,Smasher,9000,,,
1508,Smasher_,Smasher,9000,,,
1509,Smasher__,Smasher,9000,,,
1510,Flail,Flail,16000,,,
1511,Flail_,Flail,16000,,,
1512,Flail__,Flail,16000,,,
1513,Morning_Star,Morning Star,41000,,,
1514,Morning_Star_,Morning Star,41000,,,
1515,Morning_Star__,Morning Star,41000,,,
1516,Sword_Mace,Sword Mace,50000,,,
1517,Sword_Mace_,Sword Mace,50000,,,
1518,Sword_Mace__,Sword Mace,50000,,,
1519,Chain,Chain,23000,,,
1520,Chain_,Chain,23000,,,
1521,Chain__,Chain,23000,,,
1522,Stunner,Stunner,60000,,,
1523,Spike,Spike,20,,,
1524,Golden_Mace,Golden Mace,20,,,
1525,Long_Mace,Long Mace,20,,,
1526,Slash,Slash,20,,,
1527,Quadrille,Quadrille,20,,,
1528,Grand_Cross,Grand Cross,20,,,
1529,Iron_Driver,Iron Driver,20,,,
1530,Mjolnir,Mjollnir,20,,,
1531,Spanner,Spanner,20,,,
1550,Book,Book,30000,,,
1551,Bible,Bible,60000,,,
1552,Tablet,Tablet,51000,,,
1553,Book_of_Billows,Book of Billows,35000,,,
1554,Book_of_Mother_Earth,Book of Mother Earth,35000,,,
1555,Book_of_Blazing_Sun,Book of Blazing Sun,35000,,,
1556,Book_of_Gust_of_Wind,Book of Gust of Wind,35000,,,
1557,Book_of_the_Apocalypse,Book of the Apocalypse,35000,,,
1558,Girl's_Diary,Girl's Diary,20,,,
1599,Angra_Mainyu,アーリマン,,,,
1601,Rod,Rod,50,,,
1602,Rod_,Rod,50,,,
1603,Rod__,Rod,50,,,
1604,Wand,Wand,2500,,,
1605,Wand_,Wand,2500,,,
1606,Wand__,Wand,2500,,,
1607,Staff,Staff,9500,,,
1608,Staff_,Staff,9500,,,
1609,Staff__,Staff,9500,,,
1610,Arc_Wand,Arc Wand,45000,,,
1611,Arc_Wand_,Arc Wand,45000,,,
1612,Arc_Wand__,Arc Wand,45000,,,
1613,Mighty_Staff,Mighty Staff,20,,,
1614,Blessed_Wand,Wand of Occult,20,,,
1615,Bone_Wand,Bone Wand,20,,,
1701,Bow,Bow,1000,,,
1702,Bow_,Bow,1000,,,
1703,Bow__,Bow,1000,,,
1704,Composite_Bow,Composite Bow,2500,,,
1705,Composite_Bow_,Composite Bow,2500,,,
1706,Composite_Bow__,Composite Bow,2500,,,
1707,Great_Bow,Great Bow,10000,,,
1708,Great_Bow_,Great Bow,10000,,,
1709,Great_Bow__,Great Bow,10000,,,
1710,CrossBow,Cross Bow,17000,,,
