// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-----------------------------------------------
// Cronus - Configuração das Habilidades
//-----------------------------------------------

//id,range,hit,inf,pl,nk,max,list_num,castcancel,cast_defence_rate,inf2,maxcount,skill_type,blow_count
// 01 ID
// 02 range
// 03 hit (8- repeated hitting, 6- single-hit)
// 04 inf (0- passive, 1- enemy, 2- place, 4- self, 16- friend, 32- trap)
// 05 pl attributes (0- nothing, 1- water, 2- earth, 3- fire, 4- wind, 5- poison, 6- saint, 7- darkness, 8- sense, 9- immortality)
// 06 nk (0- normal skill, 1-no damage skill, 2-splash damage skill)
// 07 splash/effect range (-1 for screen-wide)
// 08 MaxLv
// 09 Hit frequency (number of hits skill does)
// 10 castcancelled (it is cancelled at 1. Are not cancelled with 0)
// 11 defense-reduction rate during cast.
// 12 inf2 (skill information 2) (1- quest skill,  2- npc skill, 4- wedding skill, 8- spirit skill,
//    16- guild skill, 32- song/dance, 64- ensemble skill, 128- trap (can be targetted),
//    256- skill that damages/targets yourself, 512- skill that cannot be casted on self
//    1024- usable only on party-members, 2048- usable only on guild-mates)
// 13 maxcount: max amount of skill instances to place on the ground when
//    player_land_skill_limit/monster_land_skill_limit is enabled.
// 14 attack type (none, weapon, magic, misc)
// 15 Blowcount (amount of tiles skill knockbacks)

1,0,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Habilidades Básicas#
47,-9,6,2,-1,0x2,2,10,1,no,0,0,0,weapon,2	//AC_SHOWER#Chuva de Flechas#
48,-1,8,0,-1,0,0,10,2,no,0,0,0,weapon,0	//TF_DOUBLE#Ataque Duplo#
49,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//TF_MISS#Perícia em Esquiva#
50,1,6,1,0,1,0,10,1,no,0,0,0,weapon,0	//TF_STEAL#Furto#
51,1,6,4,0,1,0,10,1,no,0,0,0,none,0	//TF_HIDING#Esconderijo#
52,-2,6,1,5,0,0,10,1,no,0,0,0,weapon,0	//TF_POISON#Envenenar#
53,9,6,16,5,0x1,0,1,1,no,0,0,0,weapon,0	//TF_DETOXIFY#Desintoxicar#
54,9,6,16,6,0x1,0,4,1,yes,0,0,0,magic,0	//ALL_RESURRECTION#Ressuscitar#
55,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//KN_SPEARMASTERY#Perícia com Lança#
56,-2,8,1,-1,0,0,10,3,no,0,0,0,weapon,0	//KN_PIERCE#Perfurar#
57,-2,6,1,-1,0x1,0,10,1,no,33,0,0,weapon,3	//KN_BRANDISHSPEAR#Brandir Lança#
58,-4,6,1,-1,0x2,0,10,1,no,0,0,0,weapon,6	//KN_SPEARSTAB#Estocada#
59,3:5:7:9:11,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//KN_SPEARBOOMERANG#Lança Bumerangue#
60,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//KN_TWOHANDQUICKEN#Rapidez com Duas Mãos#
61,0,6,4,-1,0x20,0,5,1,no,0,0,0,weapon,0	//KN_AUTOCOUNTER#Contra-Ataque#
62,-2,6,1,-1,0x2,1,10,1,no,33,0,0,weapon,1:1:2:2:3:3:4:4:5:5 //KN_BOWLINGBASH#Bowling Golpe Fulminante#
63,0,0,0,0,0,0,1,0,no,0,0,0,weapon,0	//KN_RIDING#Montaria#
64,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//KN_CAVALIERMASTERY#Perícia em Montaria#
65,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//PR_MACEMASTERY#Perícia com Maça#
66,9,6,16,0,0x1,0,5,1,yes,0,0,0,magic,0	//PR_IMPOSITIO#Impositio Manus#	
67,9,6,16,0,0x1,0,3,1,yes,0,0x200,0,magic,0	//PR_SUFFRAGIUM#Suffragium#
68,9,6,16,6,0x31,0,5,1,yes,0,0,0,magic,0	//PR_ASPERSIO#Aspersio#
69,9,6,2,0,0x23,1,5,1,yes,0,0x40,0,magic,0	//PR_BENEDICTIO#B.S. Sacramenti#
70,9,6,2,6,0x21,0,10,1,yes,0,0,0,magic,1	//PR_SANCTUARY#Santuário#
71,9,6,16,0,0x1,0,4,1,yes,0,0,0,magic,0	//PR_SLOWPOISON#Retardar Veneno#
72,9,6,16,0,0x1,0,1,1,yes,0,0,0,magic,0	//PR_STRECOVERY#Graça Divina#
73,9,6,16,0,0x1,0,10,1,yes,0,0,0,magic,0	//PR_KYRIE#Kyrie Eleison#
74,0,6,4,0,0x3,-1,5,1,yes,0,0,0,magic,0	//PR_MAGNIFICAT#Magnificat#
75,0,6,4,0,0x3,-1,5,1,yes,0,0,0,magic,0	//PR_GLORIA#Gloria#
76,5,6,1,0,0x1,0,10,0,yes,0,0,0,magic,0	//PR_LEXDIVINA#Lex Divina#
77,5,6,1,6,0x28,0,10,1,yes,0,0,0,magic,0	//PR_TURNUNDEAD#Esconjurar#
78,9,6,1,0,0x1,0,1,0,yes,0,0,0,magic,0	//PR_LEXAETERNA#Lex Aeterna#
79,9,8,2,6,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//PR_MAGNUS#Magnus Exorcismus#
80,9,8,2,3,0x20,1:1:1:1:1:2:2:2:2:2:2,10,3:4:5:6:7:8:9:10:11:12:12,yes,0,0,5,magic,0	//WZ_FIREPILLAR#Coluna de Fogo#
81,0,6,4,3,0,3,10,1,yes,0,0,0,magic,5	//WZ_SIGHTRASHER#Chama Reveladorarasher#
//82,9,6,2,3,0,0,10,1,yes,0,0,0,magic,0	//WZ_FIREIVY#Fire Ivy#
83,9,8,2,3,0,3:3:3:3:3:3:3:3:3:3:14,10,1:1:2:2:3:3:4:4:5:5:15,yes,0,0,0,magic,0	//WZ_METEOR#Chuva de Meteoros#
84,9,8,1,4,0,0,10,3:4:5:6:7:8:9:10:11:12,yes,0,0,0,magic,2:3:3:4:4:5:5:6:6:7	//WZ_JUPITEL#Trovão de Júpiter#
85,9,8,2,4,0,0,10,-10,yes,0,0,0,magic,0	//WZ_VERMILION#Ira de Thor#
86,9,8,1,1,0,0,5,1,yes,0,0,0,magic,0	//WZ_WATERBALL#Esfera d'Água#
87,9,6,2,1,0,0,10,1,yes,0,0,0,magic,0	//WZ_ICEWALL#Barreira de Gelo#
88,0,6,4,1,0x2,2,10,1,yes,0,0,0,magic,0	//WZ_FROSTNOVA#Congelar#
89,9,6,2,1,0,0,10,1,yes,0,0,0,magic,2	//WZ_STORMGUST#Nevasca#
90,9,8,1,2,0,0,5,1:2:3:4:5,yes,0,0,0,magic,0	//WZ_EARTHSPIKE#Coluna de Pedra#
91,9,8,2,2,0,0,5,1:2:3:4:5,yes,0,0,0,magic,0	//WZ_HEAVENDRIVE#Fúria da Terra#
92,9,6,2,2,0x1,0,5,1,yes,0,0,3,magic,0	//WZ_QUAGMIRE#Pântano dos Mortos#
93,9,6,1,0,0x1,0,1,1,yes,0,0,0,magic,0	//WZ_ESTIMATION#Sentido Sobrenatural#
94,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_IRON#Trabalhar Ferro#
95,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_STEEL#Trabalhar Aço#
96,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_ENCHANTEDSTONE#Produzir Pedra Fundamental#
97,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_ORIDECON##
98,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_DAGGER#Forjar Adaga#
99,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_SWORD#Forjar Espada#
100,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_TWOHANDSWORD#Forjar Espada de Duas Mãos#
101,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_AXE#Forjar Machado#
102,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_MACE#Forjar Maça#
103,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_KNUCKLE#Forjar Soqueira#
104,0,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_SPEAR#Forjar Lança#
105,0,0,0,0,0,0,1,0,no,0,0,0,weapon,0	//BS_HILTBINDING#Punho Firme#
106,0,0,0,0,0,0,1,0,no,0,0,0,weapon,0	//BS_FINDINGORE#Encontrar Minério#
107,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//BS_WEAPONRESEARCH#Perícia em Armamento#
108,2,6,16,0,0x1,0,1,1,yes,0,0,0,weapon,0	//BS_REPAIRWEAPON#Consertar Armas#
109,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_SKINTEMPER#Resistência ao Fogo#
110,1,6,2,0,0x3,2:2:2:2:2:14,5,1,no,0,0,0,weapon,0	//BS_HAMMERFALL#Martelo de Thor#
111,0,6,4,0,0x3,-1,5,1,no,0,0,0,weapon,0	//BS_ADRENALINE#Adrenalina Pura#
112,0,6,4,0,0x3,-1,5,1,no,0,0,0,weapon,0	//BS_WEAPONPERFECT#Manejo Perfeito#
113,0,6,4,0,0x3,-1,5,1,no,0,0,0,weapon,0	//BS_OVERTHRUST#Força Violenta#
114,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//BS_MAXIMIZE#Encerramentolificar Poder#
115,3,6,2,0,0x1,0,5,1,no,0,0x80,0,misc,6:7:8:9:10	//HT_SKIDTRAP#Armadilha Escorregadia#
116,3,6,2,2,0x40,0,5,1,no,0,0x80,0,misc,0	//HT_LANDMINE#Armadilha Atordoante#
117,3,6,2,0,0x1,0,5,1,no,0,0x80,0,misc,0	//HT_ANKLESNARE#Instalar Armadilha#
118,3,6,2,0,0x2,1,5,1,no,0,0x80,0,misc,0	//HT_SHOCKWAVE#Armadilha Extenuante#
119,3,6,2,0,0x3,2,5,1,no,0,0x80,0,misc,0	//HT_SANDMAN#Armadilha Sonífera#
120,3,6,2,0,0x3,1,5,1,no,0,0x80,0,misc,0	//HT_FLASHER#Armadilha Luminosa#
121,3,6,2,1,0x42,1,5,1,no,0,0x80,0,misc,0	//HT_FREEZINGTRAP#Armadilha Congelante#
122,3,6,2,4,0x42,1,5,1,no,0,0x80,0,misc,0	//HT_BLASTMINE#Instalar Mina#
123,3,6,2,3,0x42,2,5,1,no,0,0x80,0,misc,0	//HT_CLAYMORETRAP#Armadilha Explosiva#
124,2,6,32,0,0x1,0,1,1,no,0,0,0,misc,0	//HT_REMOVETRAP#Faxina Armadilha#
125,3,6,2,0,0x1,0,1,1,no,0,0,0,misc,0	//HT_TALKIEBOX#Mensagem Secreta#
126,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//HT_BEASTBANE#Flagelo das Feras#
127,0,0,0,0,0,0,1,0,no,0,0,0,misc,0	//HT_FALCON#Adestrar Falcão#
128,0,0,0,0,0,0,10,0,no,0,0,0,misc,0	//HT_STEELCROW#Garras de Aço#
129,5,8,1,0,0x42,1,5,1:2:3:4:5,yes,0,0,0,misc,0	//HT_BLITZBEAT#Ataque Aéreo#
130,3:5:7:9,6,2,0,0x3,3,4,1,no,0,0,0,misc,0	//HT_DETECTING#Alerta#
131,4:5:6:7:8,6,32,0,0x1,0,5,1,no,0,0,0,misc,0	//HT_SPRINGTRAP#Desativar Armadilha#
132,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//AS_RIGHT#Perícia com Mão Direita#
133,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//AS_LEFT#Perícia com Mão Esquerda#
134,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AS_KATAR#Perícia com Katar#
135,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//AS_CLOAKING#Furtividade#
136,-1,8,1,-1,0,0,10,8,no,0,0,0,weapon,0	//AS_SONICBLOW#Lâminas Destruidoras#
137,3:4:5:6:7,6,1,-1,0x2,1,5,1,no,0,0,0,weapon,0	//AS_GRIMTOOTH#Tocaia#
138,1,6,16,5,0x1,0,10,1,no,0,0x400,0,weapon,0	//AS_ENCHANTPOISON#Envenenar Arma#
139,0,6,4,0,0,0,10,1,no,0,0,0,weapon,0	//AS_POISONREACT#Refletir Veneno#
140,2,6,2,5,0x1,0,10,1,no,0,0,0,weapon,0	//AS_VENOMDUST#Névoa Tóxica#
141,1,6,1,-1,0x9,2,10,1,yes,0,0,0,weapon,0	//AS_SPLASHER#Explosão Tóxica#
142,0,6,4,0,0x1,0,1,1,no,0,0x1,0,none,0	//NV_FIRSTAID#Primeiros Socorros#
143,0,6,4,0,0x1,0,1,1,no,0,0x1,0,none,0	//NV_TRICKDEAD#Fingir de Morto#
144,0,0,0,0,0,0,1,0,no,0,0x1,0,none,0	//SM_MOVINGRECOVERY#Recuperar HP em Movimento#
145,0,0,0,0,0,0,1,0,no,0,0x1,0,weapon,0	//SM_FATALBLOW#Ataque Fatal#
146,0,6,4,0,0x1,0,1,1,no,0,0x1,0,weapon,0	//SM_AUTOBERSERK#Instinto de Sobrevivência#
147,0,0,4,0,0x1,0,1,0,no,0,0x1,0,weapon,0	//AC_MAKINGARROW#Fabricar Flechas#
148,-9,6,1,-1,0x2,0,1,1,no,0,0x1,0,weapon,6	//AC_CHARGEARROW#Disparo Violento#
149,1,6,1,2,0,0,1,1,no,0,0x1,0,weapon,0	//TF_SPRINKLESAND#Chutar Areia#
150,0,6,4,0,0x1,0,1,1,no,0,0x1,0,weapon,5	//TF_BACKSLIDING#Recuar#
151,0,6,4,0,0x1,0,1,1,no,0,0x1,0,none,0	//TF_PICKSTONE#Procurar Pedras#
152,7,6,1,0,0x40,0,1,1,no,0,0x1,0,misc,0	//TF_THROWSTONE#Arremessar Pedra#
153,1,6,1,-1,0x2,1,1,1,no,0,0x1,0,weapon,2	//MC_CARTREVOLUTION#Cavalo-de-Pau#
154,0,6,4,0,0x1,0,1,1,no,0,0x1,0,none,0	//MC_CHANGECART#Personalizar Carrinho#
155,0,6,4,0,0x1,0,1,1,no,0,0x1,0,weapon,0	//MC_LOUD#Grito de Guerra#
156,9,6,1,6,0,0,1,1,yes,0,0x1,0,magic,0	//AL_HOLYLIGHT#Luz Divina#
157,0,6,4,0,0x1,0,1,1,yes,0,0x1,0,magic,0	//MG_ENERGYCOAT#Proteção Arcana#
158,3,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_PIERCINGATT##
159,-1,6,1,-1,0x40,0,5,1,no,0,0x2,0,weapon,0	//NPC_MENTALBREAKER##
160,9,6,1,0,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_RANGEATTACK##
161,0,0,4,0,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_ATTRICHANGE##
162,0,0,4,1,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEWATER##
163,0,0,4,2,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEGROUND##
164,0,0,4,3,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEFIRE##
165,0,0,4,4,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEWIND##
166,0,0,4,5,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEPOISON##
167,0,0,4,6,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEHOLY##
168,0,0,4,7,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGEDARKNESS##
169,0,0,4,8,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_CHANGETELEKINESIS#Sentido Sobrenatural Attribute Change#
170,-1,6,1,-1,0x20,0,10,1,no,0,0x2,0,weapon,0	//NPC_CRITICALSLASH##
171,-1,8,1,-1,0,0,10,2:3:4:5:6:7:8:9:10:11,no,0,0x2,0,weapon,0	//NPC_COMBOATTACK##
172,-1,6,1,-1,0x40,0,10,1,no,0,0x2,0,weapon,0	//NPC_GUIDEATTACK##
173,5,6,4,3,0xD2,5,10,1,no,0,0x2,0,misc,3	//NPC_SELFDESTRUCTION##
174,-1,6,1,-1,0x2,3,1,1,no,0,0x2,0,weapon,0	//NPC_SPLASHATTACK##
175,0,0,4,0,0x41,0,10,1,no,0,0x2,0,misc,0	//NPC_SUICIDE##
176,-1,6,1,-1,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_POISON##
177,7,6,1,-1,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_BLINDATTACK##
178,-1,6,1,-1,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_SILENCEATTACK##
179,-1,6,1,-1,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_STUNATTACK##
180,7,6,1,-1,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_PETRIFYATTACK##
181,7,6,1,7,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_CURSEATTACK##
182,-1,6,1,-1,0,0,5,1,no,0,0x2,0,weapon,0	//NPC_SLEEPATTACK##
183,-1,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_RANDOMATTACK##
184,-1,6,1,1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_WATERATTACK##
185,-1,6,1,2,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_GROUNDATTACK##
186,-1,6,1,3,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_FIREATTACK##
187,-1,6,1,4,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_WINDATTACK##
188,-1,6,1,5,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_POISONATTACK##
189,-1,6,1,6,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_HOLYATTACK##
190,-1,6,1,7,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_DARKNESSATTACK##
191,-1,6,1,8,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_TELEKINESISATTACK#Sentido Sobrenatural Attribute Attack#
192,-1,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_MAGICALATTACK##
193,0,0,4,0,0x1,0,10,1,no,0,0x2,0,none,0	//NPC_METAMORPHOSIS##
194,0,0,4,0,0x1,0,10,1,no,0,0x2,0,none,0	//NPC_PROVOCATION##
195,0,6,4,0,0x50,0,10,1,no,0,0x2,0,misc,0	//NPC_SMOKING##
196,0,0,4,0,0x1,0,10,1,no,0,0x2,0,magic,0	//NPC_SUMMONSLAVE##
197,0,0,4,0,0x1,0,10,1,no,0,0x2,0,none,0	//NPC_EMOTION##
198,0,0,4,0,0x1,0,10,1,no,0,0x2,0,magic,0	//NPC_TRANSFORMATION##
199,9,6,1,7,0x40,0,1,1,no,0,0x2,0,weapon,0	//NPC_BLOODDRAIN##
200,9,6,1,7,0,0,1,1,no,0,0x2,0,magic,0	//NPC_ENERGYDRAIN##
201,0,0,4,0,0x1,0,1,1,no,0,0x2,0,weapon,0	//NPC_KEEPING##
202,2,6,1,7,0,0,5,1,no,0,0x2,0,misc,0	//NPC_DARKBREATH##
203,9,6,1,7,0x1,0,10,1,no,0,0x2,0,magic,0	//NPC_DARKBLESSING#Dark Benção#
204,0,0,4,0,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_BARRIER##
205,0,0,4,0,0x1,0,1,1,no,0,0x2,0,weapon,0	//NPC_DEFENDER##
206,1,6,1,-1,0x1,0,5,1,no,0,0x2,0,weapon,0	//NPC_LICK##
207,9,0,1,0,0x1,0,10,1,no,0,0x2,0,magic,0	//NPC_HALLUCINATION##
208,0,0,4,0,0x1,0,1,1,no,0,0x2,0,magic,0	//NPC_REBIRTH##
209,0,0,4,0,0x1,0,10,1,no,0,0x2,0,magic,0	//NPC_SUMMONMONSTER##
210,0,0,0,-1,0,0,10,0,no,0,0,0,weapon,0	//RG_SNATCHER#Mãos Leves#
211,1,6,1,0,0x1,0,10,1,no,0,0,0,weapon,0	//RG_STEALCOIN#Afanar#
212,-1,6,1,-1,0x40,0,10,1,no,0,0,0,weapon,0	//RG_BACKSTAP#Apunhalar#
213,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//RG_TUNNELDRIVE#Túnel de Fuga#
214,0,6,4,-1,0x2,1,5,1,no,0,0,0,weapon,0	//RG_RAID#Chama Reveladoraless Raid#
215,1,6,1,0,0x1,0,5,1,no,0,0,0,weapon,0	//RG_STRIPWEAPON#Faxina Arma#
216,1,6,1,0,0x1,0,5,1,no,0,0,0,weapon,0	//RG_STRIPSHIELD#Faxina Escudo#
217,1,6,1,0,0x1,0,5,1,no,0,0,0,weapon,0	//RG_STRIPARMOR#Faxina Armadura#
218,1,6,1,0,0x1,0,5,1,no,0,0,0,weapon,0	//RG_STRIPHELM#Faxina Capacete#
219,-1,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//RG_INTIMIDATE#Rapto#
220,1,6,2,0,0x1,0,1,1,no,0,0,0,none,0	//RG_GRAFFITI#Grafitti#
221,0,6,2,0,0x1,0,5,1,no,0,0,0,none,0	//RG_FLAGGRAFFITI#Pichar#
222,1,6,2,0,0x3,5,1,1,no,0,0,0,none,0	//RG_CLEANER#Faxina#
223,0,0,0,0,0,1,1,0,no,0,0,0,none,0	//RG_GANGSTER#Malandragem#
